,coche,sentido,viaje,media tiempo viaje (minutos),media velocidad comercial (km/h),desviación tiempo viaje,desviación velocidad comercial
83,2,Valdecilla_Sardinero,17,15.037500000000001,19.5785401459854,0.6604396683691508,0.8325476154516618
51,2,Sardinero_Valdecilla,18,15.549999999999997,18.958650033084187,0.9448691855372231,1.1396280507054952
84,2,Valdecilla_Sardinero,18,13.05,22.528735632183906,,
52,2,Sardinero_Valdecilla,19,12.55,23.426294820717132,,
85,2,Valdecilla_Sardinero,19,15.191666666666666,19.453149816401258,1.2500000000000018,1.6285645114333833
53,2,Sardinero_Valdecilla,20,14.554166666666667,20.295186177786352,1.147168414126875,1.604270970375845
54,2,Sardinero_Valdecilla,21,12.1,24.297520661157026,,
55,2,Sardinero_Valdecilla,22,12.705555555555556,23.30421688478874,1.3389810941049058,2.3464268658125507
56,2,Sardinero_Valdecilla,23,12.083333333333334,24.33103448275862,,
86,2,Valdecilla_Sardinero,23,14.166666666666666,20.75294117647059,,
57,2,Sardinero_Valdecilla,24,13.783333333333333,21.372642151855633,0.7650344945018996,1.1494605934401156
87,2,Valdecilla_Sardinero,24,12.916666666666666,22.761290322580646,,
58,2,Sardinero_Valdecilla,25,12.5,23.52,,
88,2,Valdecilla_Sardinero,25,13.95,21.07827755403879,0.2357022603955169,0.3561432017728302
59,2,Sardinero_Valdecilla,26,14.138888888888888,20.811528822291898,0.5045166370270033,0.7490481936227142
89,2,Valdecilla_Sardinero,26,12.55,23.426294820717132,,
90,2,Valdecilla_Sardinero,27,17.166666666666664,17.14174117567143,0.7306770072261015,0.7296160858767378
91,2,Valdecilla_Sardinero,28,13.583333333333334,21.644171779141104,,
60,2,Sardinero_Valdecilla,29,12.6,23.333333333333332,,
92,2,Valdecilla_Sardinero,29,18.391666666666666,16.22777874320628,2.6392163539511047,2.25858077014685
61,2,Sardinero_Valdecilla,30,17.479166666666664,17.153074914851757,3.047536193690217,2.546993714306095
93,2,Valdecilla_Sardinero,30,15.016666666666667,19.57824639289678,,
62,2,Sardinero_Valdecilla,31,13.733333333333333,21.40776699029126,,
